trope,trend_lift,weighted_score,epoch2_count,baseline_count,epoch2_share,baseline_share
REP_MF,999.99,2772.56,15,0,0.61,0.0
ACCIDENTAL_PREGNANCY,999.99,2302.56,9,0,0.36,0.0
HE_FALLS_FIRST,294.83,647.82,8,2,0.32,0.0
FAKE_DATING,97.74,470.36,122,92,4.95,0.05
FORCED_PROXIMITY,69.58,380.47,236,250,9.57,0.14
OMEGAVERSE,80.84,342.29,68,62,2.76,0.03
PLUS_SIZE_REP,73.71,194.52,13,13,0.53,0.01
REP_MM,5.31,37.03,1071,14873,43.41,8.18
REP_QUEER_GENERAL,5.32,36.92,1035,14346,41.95,7.89
SLOW_BURN,6.73,34.43,166,1819,6.73,1.0
ENEMIES_TO_LOVERS,4.65,28.81,488,7730,19.78,4.25
SPORTS_HOCKEY,6.01,26.58,82,1005,3.32,0.55
SPORTS_GENERAL,2.63,14.68,264,7396,10.7,4.07
CLEAN_SWEET,4.3,14.16,26,446,1.05,0.25
GENDER_NONCONFORMING,7.68,13.76,5,48,0.2,0.03
SPORTS_BASKETBALL,6.5,12.66,6,68,0.24,0.04
INTERRACIAL_MULTICULTURAL,3.14,12.4,51,1198,2.07,0.66
NEURODIVERGENT_DISABILITY,2.59,12.27,113,3215,4.58,1.77
FRIENDS_TO_LOVERS,1.97,12.16,477,17845,19.34,9.81
ROM_COM,1.6,9.81,465,21462,18.85,11.8
FAIRY_TALE_RETELLING,2.5,9.5,44,1299,1.78,0.71
MILITARY_WAR,2.01,8.79,79,2902,3.2,1.6
SECOND_CHANCE,1.59,8.77,247,11445,10.01,6.29
SPORTS_FOOTBALL,2.37,8.76,39,1211,1.58,0.67
COWBOY_WESTERN,2.23,8.57,46,1523,1.86,0.84
DARK_ROMANCE,1.41,7.83,260,13619,10.54,7.49
SPORTS_BASEBALL,2.59,7.75,19,541,0.77,0.3
WORKPLACE,1.74,7.4,70,2971,2.84,1.63
ACADEMIA_SCHOOL,1.4,7.22,174,9179,7.05,5.05
CONTEMPORARY_ROMANCE,0.99,7.12,1334,99326,54.07,54.62
SEASONAL_SUMMER_BEACH,1.75,6.64,44,1858,1.78,1.02
WITCHES_MAGIC,1.16,6.27,216,13671,8.76,7.52
FANTASY_ROMANCE,1.02,6.23,458,33193,18.57,18.25
REP_FF,1.58,5.8,38,1768,1.54,0.97
HOLIDAY,1.1,5.22,116,7796,4.7,4.29
SMALL_TOWN,1.08,5.06,108,7381,4.38,4.06
DRAGONS,1.32,4.85,38,2114,1.54,1.16
PARANORMAL_ROMANCE,0.81,4.84,390,35442,15.81,19.49
GAY_FOR_YOU,1.34,4.73,33,1814,1.34,1.0
MAFIA_CARTEL_CRIME,1.21,4.72,49,2995,1.99,1.65
REVERSE_HAREM_POLY,0.97,4.45,98,7452,3.97,4.1
SHIFTER_WEREWOLF,0.81,4.06,147,13351,5.96,7.34
MYSTERY_THRILLER_SUSPENSE,0.65,3.91,390,43929,15.81,24.16
FIREFIGHTER_FIRST_RESPONDER,1.37,3.88,16,862,0.65,0.47
ROYALTY,0.97,3.61,40,3037,1.62,1.67
FORBIDDEN_TABOO,0.88,3.34,44,3694,1.78,2.03
MARRIAGE_OF_CONVENIENCE,0.82,3.16,45,4021,1.82,2.21
NEW_ADULT,0.52,2.92,265,37400,10.74,20.57
MUSICIANS,0.71,2.85,55,5716,2.23,3.14
ROAD_TRIP,0.89,2.75,21,1743,0.85,0.96
GHOSTS,0.81,2.74,29,2654,1.18,1.46
FEMINIST_STRONG_LEAD,1.47,2.64,5,250,0.2,0.14
REP_CULTURAL_IDENTITY,1.01,2.58,12,878,0.49,0.48
FAE_ELVES,0.75,2.55,29,2852,1.18,1.57
HIGH_STEAM,0.43,2.53,378,65341,15.32,35.93
FOODIE_ROMANCE,0.88,2.39,14,1168,0.57,0.64
HISTORICAL_ROMANCE,0.47,2.35,151,23782,6.12,13.08
MEDICAL,0.68,2.07,20,2167,0.81,1.19
YOUNG_ADULT,0.38,1.9,140,26942,5.67,14.82
DARK_TRAUMA,0.42,1.89,93,16464,3.77,9.05
DEMONS_ANGELS,0.47,1.85,51,8012,2.07,4.41
SCI_FI_ROMANCE,0.44,1.82,62,10409,2.51,5.72
VAMPIRES,0.4,1.61,57,10617,2.31,5.84
TEACHER_ROMANCE,0.67,1.61,10,1097,0.41,0.6
FOUND_FAMILY,0.28,1.29,104,27729,4.22,15.25
BODYGUARD,0.57,1.19,7,902,0.28,0.5
ANGSTY_GRIEF,0.29,1.19,55,13768,2.23,7.57
CELEBRITY,0.34,1.13,26,5607,1.05,3.08
HORROR,0.4,1.11,15,2763,0.61,1.52
BILLIONAIRE,0.28,0.99,35,9295,1.42,5.11
ACTION_ADVENTURE,0.2,0.8,54,19867,2.19,10.93
TIME_TRAVEL,0.27,0.62,9,2457,0.36,1.35
MONSTER_ALIEN,0.24,0.53,8,2467,0.32,1.36
PETS_ANIMALS,0.22,0.44,6,1973,0.24,1.09
MARRIAGE_IN_TROUBLE,0.14,0.3,7,3587,0.28,1.97
INSPIRATIONAL_CHRISTIAN,0.12,0.3,11,6713,0.45,3.69
AGE_GAP,0.13,0.28,8,4591,0.32,2.52
