stack,trend_lift,weighted_score,epoch2_count,baseline_count,epoch2_share,baseline_share
FAKE_DATING + FORCED_PROXIMITY,999.99,3091.01,21,0,0.8512,0.0
FAKE_DATING + REP_MM,999.99,2995.7,19,1,0.7702,0.0005
FORCED_PROXIMITY + SMALL_TOWN,648.64,2469.14,44,5,1.7835,0.0027
COWBOY_WESTERN + FORCED_PROXIMITY,999.99,2397.87,10,0,0.4054,0.0
HIGH_STEAM + REP_MF,999.99,2397.87,10,0,0.4054,0.0
CONTEMPORARY_ROMANCE + REP_MF,999.99,2302.56,9,0,0.3648,0.0
FORCED_PROXIMITY + MAFIA_CARTEL_CRIME,884.5,2268.7,12,1,0.4864,0.0005
ACCIDENTAL_PREGNANCY + CONTEMPORARY_ROMANCE,999.99,2197.2,8,0,0.3243,0.0
FORCED_PROXIMITY + MARRIAGE_OF_CONVENIENCE,810.79,2014.75,11,1,0.4459,0.0005
FAKE_DATING + SPORTS_HOCKEY,999.99,1945.89,6,0,0.2432,0.0
CLEAN_SWEET + FORCED_PROXIMITY,999.99,1945.89,6,0,0.2432,0.0
DARK_ROMANCE + REP_MF,999.99,1791.74,5,0,0.2027,0.0
ENEMIES_TO_LOVERS + REP_MF,999.99,1609.42,4,0,0.1621,0.0
ACCIDENTAL_PREGNANCY + SMALL_TOWN,999.99,1609.42,4,0,0.1621,0.0
ACCIDENTAL_PREGNANCY + NEW_ADULT,999.99,1386.28,3,0,0.1216,0.0
ENEMIES_TO_LOVERS + PLUS_SIZE_REP,999.99,1386.28,3,0,0.1216,0.0
ROM_COM + STEM,999.99,1386.28,3,0,0.1216,0.0
FAKE_DATING + GAY_FOR_YOU,999.99,1386.28,3,0,0.1216,0.0
CLEAN_SWEET + FAKE_DATING,999.99,1386.28,3,0,0.1216,0.0
CONTEMPORARY_ROMANCE + STEM,999.99,1386.28,3,0,0.1216,0.0
ACCIDENTAL_PREGNANCY + FORCED_PROXIMITY,999.99,1386.28,3,0,0.1216,0.0
ACCIDENTAL_PREGNANCY + ENEMIES_TO_LOVERS,999.99,1386.28,3,0,0.1216,0.0
HE_FALLS_FIRST + ROM_COM,999.99,1386.28,3,0,0.1216,0.0
FORCED_PROXIMITY + WORKPLACE,343.97,1158.26,28,6,1.135,0.0033
FORCED_PROXIMITY + ROAD_TRIP,442.25,860.58,6,1,0.2432,0.0005
OMEGAVERSE + WITCHES_MAGIC,235.87,668.26,16,5,0.6486,0.0027
FAKE_DATING + SPORTS_FOOTBALL,368.54,660.34,5,1,0.2027,0.0005
FORCED_PROXIMITY + SEASONAL_SUMMER_BEACH,368.54,660.34,5,1,0.2027,0.0005
DRAGONS + OMEGAVERSE,294.83,647.82,8,2,0.3243,0.0011
CONTEMPORARY_ROMANCE + HE_FALLS_FIRST,294.83,647.82,8,2,0.3243,0.0011
FORCED_PROXIMITY + HOLIDAY,239.55,632.19,13,4,0.527,0.0022
ENEMIES_TO_LOVERS + FORCED_PROXIMITY,133.88,602.43,89,49,3.6076,0.0269
ENEMIES_TO_LOVERS + FAKE_DATING,167.07,594.0,34,15,1.3782,0.0082
OMEGAVERSE + REP_MM,135.13,568.19,66,36,2.6753,0.0198
OMEGAVERSE + REP_QUEER_GENERAL,144.35,558.79,47,24,1.9051,0.0132
DARK_ROMANCE + FORCED_PROXIMITY,167.52,545.79,25,11,1.0134,0.006
FAKE_DATING + REP_QUEER_GENERAL,159.7,526.35,26,12,1.0539,0.0066
FAKE_DATING + ROM_COM,132.17,524.74,52,29,2.1078,0.0159
FORCED_PROXIMITY + SECOND_CHANCE,153.09,510.12,27,13,1.0944,0.0071
FANTASY_ROMANCE + OMEGAVERSE,119.53,491.36,60,37,2.4321,0.0203
HE_FALLS_FIRST + HIGH_STEAM,294.83,474.52,4,1,0.1621,0.0005
CONTEMPORARY_ROMANCE + FAKE_DATING,99.19,466.23,109,81,4.4183,0.0445
FAKE_DATING + FRIENDS_TO_LOVERS,114.99,424.17,39,25,1.5809,0.0137
FAKE_DATING + SECOND_CHANCE,159.7,421.46,13,6,0.527,0.0033
FORCED_PROXIMITY + MILITARY_WAR,162.16,402.95,11,5,0.4459,0.0027
FAKE_DATING + MARRIAGE_OF_CONVENIENCE,147.42,399.21,14,7,0.5675,0.0038
CONTEMPORARY_ROMANCE + FORCED_PROXIMITY,72.27,383.63,201,205,8.1475,0.1127
FAKE_DATING + SMALL_TOWN,147.42,378.12,12,6,0.4864,0.0033
FAKE_DATING + SLOW_BURN,147.42,378.12,12,6,0.4864,0.0033
FORCED_PROXIMITY + SLOW_BURN,106.88,363.51,29,20,1.1755,0.011
FORCED_PROXIMITY + ROM_COM,77.49,342.41,82,78,3.3239,0.0429
DARK_ROMANCE + FAKE_DATING,184.27,330.17,5,2,0.2027,0.0011
OMEGAVERSE + PARANORMAL_ROMANCE,78.97,324.65,60,56,2.4321,0.0308
FAKE_DATING + INTERRACIAL_MULTICULTURAL,221.13,306.55,3,1,0.1216,0.0005
FRIENDS_TO_LOVERS + HE_FALLS_FIRST,221.13,306.55,3,1,0.1216,0.0005
FORCED_PROXIMITY + ROYALTY,221.13,306.55,3,1,0.1216,0.0005
CONTEMPORARY_ROMANCE + PLUS_SIZE_REP,106.47,280.97,13,9,0.527,0.0049
HIGH_STEAM + PLUS_SIZE_REP,128.99,268.23,7,4,0.2837,0.0022
FAKE_DATING + SPORTS_GENERAL,87.53,262.21,19,16,0.7702,0.0088
FIREFIGHTER_FIRST_RESPONDER + FORCED_PROXIMITY,147.42,237.26,4,2,0.1621,0.0011
OMEGAVERSE + SHIFTER_WEREWOLF,63.88,235.65,39,45,1.5809,0.0247
FAKE_DATING + HOLIDAY,122.85,220.11,5,3,0.2027,0.0016
FORCED_PROXIMITY + SPORTS_HOCKEY,122.85,220.11,5,3,0.2027,0.0016
OMEGAVERSE + ROYALTY,122.85,220.11,5,3,0.2027,0.0016
ENEMIES_TO_LOVERS + OMEGAVERSE,98.28,215.94,8,6,0.3243,0.0033
FORCED_PROXIMITY + REP_QUEER_GENERAL,52.65,195.52,40,56,1.6214,0.0308
BILLIONAIRE + FORCED_PROXIMITY,69.1,191.59,15,16,0.608,0.0088
FORCED_PROXIMITY + NEURODIVERGENT_DISABILITY,82.92,190.94,9,8,0.3648,0.0044
FORCED_PROXIMITY + REP_MM,50.5,183.71,37,54,1.4998,0.0297
FORCED_PROXIMITY + REVERSE_HAREM_POLY,85.99,178.82,7,6,0.2837,0.0033
FORCED_PROXIMITY + SPORTS_GENERAL,51.6,173.74,28,40,1.135,0.022
FAKE_DATING + WORKPLACE,73.71,161.95,8,8,0.3243,0.0044
OMEGAVERSE + REVERSE_HAREM_POLY,73.71,161.95,8,8,0.3243,0.0044
FAIRY_TALE_RETELLING + FORCED_PROXIMITY,110.56,153.27,3,2,0.1216,0.0011
FAKE_DATING + NEURODIVERGENT_DISABILITY,110.56,153.27,3,2,0.1216,0.0011
FAKE_DATING + HIGH_STEAM,52.21,150.91,17,24,0.6891,0.0132
FORBIDDEN_TABOO + FORCED_PROXIMITY,60.31,138.86,9,11,0.3648,0.006
ACADEMIA_SCHOOL + FAKE_DATING,64.49,134.11,7,8,0.2837,0.0044
BILLIONAIRE + FAKE_DATING,55.28,127.29,9,12,0.3648,0.0066
FORCED_PROXIMITY + INTERRACIAL_MULTICULTURAL,73.71,118.63,4,4,0.1621,0.0022
FAIRY_TALE_RETELLING + REP_MM,43.56,114.94,13,22,0.527,0.0121
FORCED_PROXIMITY + FRIENDS_TO_LOVERS,27.42,113.15,61,164,2.4726,0.0902
FORCED_PROXIMITY + SPORTS_FOOTBALL,61.42,110.06,5,6,0.2027,0.0033
FANTASY_ROMANCE + FORCED_PROXIMITY,51.6,107.29,7,10,0.2837,0.0055
REP_QUEER_GENERAL + SPORTS_HOCKEY,28.71,104.43,37,95,1.4998,0.0522
FRIENDS_TO_LOVERS + PLUS_SIZE_REP,73.71,102.18,3,3,0.1216,0.0016
FAKE_DATING + SEASONAL_SUMMER_BEACH,73.71,102.18,3,3,0.1216,0.0016
FORCED_PROXIMITY + HIGH_STEAM,25.17,101.76,56,164,2.27,0.0902
REP_MM + SPORTS_HOCKEY,26.27,94.87,36,101,1.4593,0.0555
FORCED_PROXIMITY + MYSTERY_THRILLER_SUSPENSE,31.27,84.68,14,33,0.5675,0.0181
CLEAN_SWEET + FRIENDS_TO_LOVERS,46.07,82.54,5,8,0.2027,0.0044
FAIRY_TALE_RETELLING + REP_QUEER_GENERAL,28.08,79.56,16,42,0.6486,0.0231
CLEAN_SWEET + ENEMIES_TO_LOVERS,55.28,76.64,3,4,0.1216,0.0022
FORCED_PROXIMITY + MEDICAL,55.28,76.64,3,4,0.1216,0.0022
COWBOY_WESTERN + REP_QUEER_GENERAL,26.8,68.75,12,33,0.4864,0.0181
COWBOY_WESTERN + REP_MM,26.8,68.75,12,33,0.4864,0.0181
FAIRY_TALE_RETELLING + SLOW_BURN,32.25,67.06,7,16,0.2837,0.0088
COWBOY_WESTERN + ENEMIES_TO_LOVERS,27.3,65.46,10,27,0.4054,0.0148
CLEAN_SWEET + SECOND_CHANCE,44.23,61.31,3,5,0.1216,0.0027
CLEAN_SWEET + REP_MM,44.23,61.31,3,5,0.1216,0.0027
FORCED_PROXIMITY + FOUND_FAMILY,22.43,60.75,14,46,0.5675,0.0253
REP_MM + REP_QUEER_GENERAL,7.87,54.03,953,8920,38.6299,4.9054
FORCED_PROXIMITY + SPORTS_BASEBALL,36.85,51.09,3,6,0.1216,0.0033
ENEMIES_TO_LOVERS + REVERSE_HAREM_POLY,13.47,49.33,38,208,1.5403,0.1144
REP_MM + SPORTS_GENERAL,9.84,46.69,114,854,4.621,0.4696
REP_QUEER_GENERAL + SPORTS_GENERAL,9.39,44.47,113,887,4.5805,0.4878
REP_MM + WITCHES_MAGIC,8.69,44.05,158,1340,6.4045,0.7369
PLUS_SIZE_REP + ROM_COM,26.8,43.14,4,11,0.1621,0.006
FAKE_DATING + REP_FF,26.8,43.14,4,11,0.1621,0.006
REP_MM + SLOW_BURN,9.76,42.65,78,589,3.1617,0.3239
REP_QUEER_GENERAL + WITCHES_MAGIC,8.35,40.52,127,1121,5.148,0.6165
REP_MM + SPORTS_BASEBALL,16.38,39.28,10,45,0.4054,0.0247
DARK_ROMANCE + ENEMIES_TO_LOVERS,7.38,35.0,114,1139,4.621,0.6264
FANTASY_ROMANCE + REP_QUEER_GENERAL,6.05,34.26,286,3482,11.593,1.9149
DRAGONS + REP_MM,9.85,34.13,31,232,1.2566,0.1276
FANTASY_ROMANCE + REP_MM,5.86,34.12,336,4225,13.6198,2.3235
ENEMIES_TO_LOVERS + REP_MM,6.92,34.08,137,1460,5.5533,0.8029
OMEGAVERSE + SCI_FI_ROMANCE,24.57,34.06,3,9,0.1216,0.0049
FAKE_DATING + NEW_ADULT,14.74,33.94,9,45,0.3648,0.0247
ENEMIES_TO_LOVERS + REP_QUEER_GENERAL,6.88,33.89,137,1468,5.5533,0.8073
INTERRACIAL_MULTICULTURAL + REP_QUEER_GENERAL,21.06,33.89,4,14,0.1621,0.0077
REP_QUEER_GENERAL + SLOW_BURN,7.81,33.74,74,698,2.9996,0.3839
ENEMIES_TO_LOVERS + FAIRY_TALE_RETELLING,11.89,32.96,15,93,0.608,0.0511
CONTEMPORARY_ROMANCE + SLOW_BURN,6.76,32.32,118,1286,4.7831,0.7072
PARANORMAL_ROMANCE + REP_QUEER_GENERAL,5.71,31.57,250,3225,10.1338,1.7735
MILITARY_WAR + REP_MM,8.02,30.86,46,423,1.8646,0.2326
CLEAN_SWEET + REP_QUEER_GENERAL,22.11,30.65,3,10,0.1216,0.0055
REP_QUEER_GENERAL + SPORTS_BASEBALL,13.27,30.55,9,50,0.3648,0.0275
MARRIAGE_OF_CONVENIENCE + REP_QUEER_GENERAL,16.75,30.02,5,22,0.2027,0.0121
NEURODIVERGENT_DISABILITY + SPORTS_HOCKEY,18.43,29.66,4,16,0.1621,0.0088
