trope,trend_lift,weighted_score,epoch3_count,baseline_count,epoch3_share,baseline_share
HE_FALLS_FIRST,999.99,3295.8,26,2,3.53,0.0
GRUMPY_SUNSHINE,999.99,2639.03,13,0,1.76,0.0
ACCIDENTAL_PREGNANCY,999.99,2079.42,7,0,0.95,0.0
FORCED_PROXIMITY,134.22,660.36,136,250,18.45,0.14
FAKE_DATING,115.32,436.39,43,92,5.83,0.05
CLEAN_SWEET,23.23,87.39,42,446,5.7,0.25
SPORTS_HOCKEY,7.12,24.21,29,1005,3.93,0.55
REP_FF,6.14,23.37,44,1768,5.97,0.97
ENEMIES_TO_LOVERS,4.6,22.87,144,7730,19.54,4.25
SLOW_BURN,5.97,22.72,44,1819,5.97,1.0
SEASONAL_SUMMER_BEACH,5.58,20.98,42,1858,5.7,1.02
FAIRY_TALE_RETELLING,5.7,19.57,30,1299,4.07,0.71
SPORTS_BASEBALL,5.02,12.47,11,541,1.49,0.3
SPORTS_GENERAL,2.77,12.27,83,7396,11.26,4.07
DRAGONS,3.38,11.51,29,2114,3.93,1.16
FAE_ELVES,3.11,11.25,36,2852,4.88,1.57
WITCHES_MAGIC,2.31,11.23,128,13671,17.37,7.52
WORKPLACE,3.07,11.18,37,2971,5.02,1.63
FANTASY_ROMANCE,1.99,11.15,268,33193,36.36,18.25
SMALL_TOWN,2.54,11.04,76,7381,10.31,4.06
COWBOY_WESTERN,3.24,9.86,20,1523,2.71,0.84
PARANORMAL_ROMANCE,1.52,8.22,219,35442,29.72,19.49
REP_QUEER_GENERAL,1.57,7.08,91,14346,12.35,7.89
FRIENDS_TO_LOVERS,1.49,7.01,108,17845,14.65,9.81
SECOND_CHANCE,1.53,6.55,71,11445,9.63,6.29
SPORTS_FOOTBALL,2.44,6.27,12,1211,1.63,0.67
DARK_ROMANCE,1.36,5.88,75,13619,10.18,7.49
HORROR,1.7,5.08,19,2763,2.58,1.52
ROM_COM,1.09,4.98,95,21462,12.89,11.8
REP_CULTURAL_IDENTITY,2.25,4.94,8,878,1.09,0.48
HOLIDAY,1.27,4.7,40,7796,5.43,4.29
CONTEMPORARY_ROMANCE,0.8,4.6,321,99326,43.55,54.62
MONSTER_ALIEN,1.6,4.53,16,2467,2.17,1.36
YOUNG_ADULT,0.87,3.97,95,26942,12.89,14.82
TIME_TRAVEL,1.41,3.81,14,2457,1.9,1.35
FOUND_FAMILY,0.69,2.98,77,27729,10.45,15.25
ACADEMIA_SCHOOL,0.83,2.89,31,9179,4.21,5.05
HISTORICAL_ROMANCE,0.68,2.88,66,23782,8.96,13.08
MARRIAGE_OF_CONVENIENCE,0.98,2.78,16,4021,2.17,2.21
REVERSE_HAREM_POLY,0.76,2.42,23,7452,3.12,4.1
INTERRACIAL_MULTICULTURAL,1.24,2.4,6,1198,0.81,0.66
FORBIDDEN_TABOO,0.87,2.29,13,3694,1.76,2.03
MAFIA_CARTEL_CRIME,0.91,2.25,11,2995,1.49,1.65
MYSTERY_THRILLER_SUSPENSE,0.5,2.25,89,43929,12.08,24.16
NEURODIVERGENT_DISABILITY,0.84,2.1,11,3215,1.49,1.77
INSPIRATIONAL_CHRISTIAN,0.7,2.09,19,6713,2.58,3.69
VAMPIRES,0.58,1.89,25,10617,3.39,5.84
SCI_FI_ROMANCE,0.52,1.64,22,10409,2.99,5.72
DEMONS_ANGELS,0.52,1.51,17,8012,2.31,4.41
ROYALTY,0.65,1.43,8,3037,1.09,1.67
SHIFTER_WEREWOLF,0.37,1.13,20,13351,2.71,7.34
HIGH_STEAM,0.26,1.11,69,65341,9.36,35.93
REP_MM,0.35,1.08,21,14873,2.85,8.18
BILLIONAIRE,0.37,1.01,14,9295,1.9,5.11
MILITARY_WAR,0.51,0.99,6,2902,0.81,1.6
GHOSTS,0.46,0.83,5,2654,0.68,1.46
CELEBRITY,0.35,0.77,8,5607,1.09,3.08
ANGSTY_GRIEF,0.22,0.55,12,13768,1.63,7.57
NEW_ADULT,0.13,0.4,20,37400,2.71,20.57
MUSICIANS,0.22,0.39,5,5716,0.68,3.14
ACTION_ADVENTURE,0.14,0.34,11,19867,1.49,10.93
DARK_TRAUMA,0.09,0.17,6,16464,0.81,9.05
