stack,trend_lift,weighted_score,epoch3_count,baseline_count,epoch3_share,baseline_share
FORCED_PROXIMITY + SMALL_TOWN,999.99,3688.84,39,5,5.249,0.0027
FAKE_DATING + FORCED_PROXIMITY,999.99,2890.34,17,0,2.288,0.0
CONTEMPORARY_ROMANCE + HE_FALLS_FIRST,999.99,2833.19,16,2,2.1534,0.0011
FORCED_PROXIMITY + WORKPLACE,897.37,2813.69,22,6,2.961,0.0033
HE_FALLS_FIRST + SPORTS_GENERAL,999.99,2708.02,14,0,1.8843,0.0
FORCED_PROXIMITY + HE_FALLS_FIRST,999.99,2708.02,14,0,1.8843,0.0
FOUND_FAMILY + HE_FALLS_FIRST,999.99,2708.02,14,1,1.8843,0.0005
HE_FALLS_FIRST + SMALL_TOWN,999.99,2564.92,12,0,1.6151,0.0
FRIENDS_TO_LOVERS + HE_FALLS_FIRST,999.99,2564.92,12,1,1.6151,0.0005
COWBOY_WESTERN + FORCED_PROXIMITY,999.99,2397.87,10,0,1.3459,0.0
FORCED_PROXIMITY + SEASONAL_SUMMER_BEACH,999.99,2197.2,8,1,1.0767,0.0005
FORCED_PROXIMITY + MARRIAGE_OF_CONVENIENCE,999.99,2197.2,8,1,1.0767,0.0005
HE_FALLS_FIRST + SPORTS_HOCKEY,999.99,1945.89,6,0,0.8075,0.0
ENEMIES_TO_LOVERS + HE_FALLS_FIRST,999.99,1945.89,6,0,0.8075,0.0
ACCIDENTAL_PREGNANCY + CONTEMPORARY_ROMANCE,999.99,1945.89,6,0,0.8075,0.0
CONTEMPORARY_ROMANCE + GRUMPY_SUNSHINE,999.99,1791.74,5,0,0.6729,0.0
HE_FALLS_FIRST + SECOND_CHANCE,999.99,1791.74,5,0,0.6729,0.0
FORCED_PROXIMITY + GRUMPY_SUNSHINE,999.99,1609.42,4,0,0.5384,0.0
HE_FALLS_FIRST + SPORTS_BASEBALL,999.99,1609.42,4,0,0.5384,0.0
