book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
Love of the Egoist (Egoist #1),Nero Seal,https://www.goodreads.com/book/show/32192152-love-of-the-egoist,,,"{""m m romance"": null, ""dark"": null, ""bdsm"": null, ""enemies to lovers"": null, ""dark romance"": null, ""abuse"": null, ""romance"": null, ""erotica"": null, ""lgbt"": null, ""gay"": null}",2026-03-21,success
Invisible Ink (Paint #3),Emma Jaye,https://www.goodreads.com/book/show/41023824-invisible-ink,67.0,4.12,"{""m m romance"": null, ""contemporary"": null, ""lgbt"": null, ""romance"": null, ""abuse"": null, ""dark"": null, ""fiction"": null, ""gay"": null, ""crime"": null, ""contemporary romance"": null}",2026-03-21,success
Cards of Love: The Devil,Ashley Jade,https://www.goodreads.com/book/show/41829009-cards-of-love,,,"{""dark romance"": null, ""dark"": null, ""romance"": null, ""m m f"": null, ""m m romance"": null, ""enemies to lovers"": null, ""menage"": null, ""contemporary"": null, ""erotica"": null, ""audiobook"": null}",2026-03-21,success
"Ravensong (Green Creek, #2)",T.J. Klune,https://www.goodreads.com/book/show/35114241-ravensong,,,"{""fantasy"": null, ""romance"": null, ""lgbt"": null, ""paranormal"": null, ""m m romance"": null, ""queer"": null, ""shapeshifters"": null, ""audiobook"": null, ""werewolves"": null, ""urban fantasy"": null}",2026-03-21,success
"Robbie (Confessions, #1)",Ella Frank,https://www.goodreads.com/book/show/37664461-robbie,1069.0,4.28,"{""m m romance"": null, ""romance"": null, ""m m m"": null, ""contemporary"": null, ""menage"": null, ""polyamory"": null, ""lgbt"": null, ""contemporary romance"": null, ""enemies to lovers"": null, ""audiobook"": null}",2026-03-21,success
"The Wolf at the Door (Big Bad Wolf, #1)",Charlie Adhara,https://www.goodreads.com/book/show/36480253-the-wolf-at-the-door,2216.0,4.16,"{""romance"": null, ""m m romance"": null, ""paranormal"": null, ""mystery"": null, ""fantasy"": null, ""shapeshifters"": null, ""lgbt"": null, ""werewolves"": null, ""urban fantasy"": null, ""audiobook"": null}",2026-03-21,success
The Glue,K. Webster,https://www.goodreads.com/book/show/40982741-the-glue,696.0,3.93,"{""m m f"": null, ""romance"": null, ""menage"": null, ""erotica"": null, ""m m romance"": null, ""contemporary romance"": null, ""audiobook"": null, ""contemporary"": null, ""lgbt"": null, ""smut"": null}",2026-03-21,success
Dane,K. Webster,https://www.goodreads.com/book/show/42205092-dane,396.0,3.99,"{""m m romance"": null, ""romance"": null, ""contemporary"": null, ""lgbt"": null, ""erotica"": null, ""gay"": null, ""adult"": null, ""erotic romance"": null, ""novella"": null, ""contemporary romance"": null}",2026-03-21,success
"Trick Roller (Seven of Spades, #2)",Cordelia Kingsbridge,https://www.goodreads.com/book/show/35501681-trick-roller,714.0,4.34,"{""m m romance"": null, ""mystery"": null, ""romance"": null, ""contemporary"": null, ""crime"": null, ""thriller"": null, ""lgbt"": null, ""suspense"": null, ""audiobook"": null, ""adult"": null}",2026-03-21,success
"Where Death Meets the Devil (Death and the Devil, #1)",L.J. Hayward,https://www.goodreads.com/book/show/37647452-where-death-meets-the-devil,811.0,4.13,"{""m m romance"": null, ""romance"": null, ""mystery"": null, ""enemies to lovers"": null, ""contemporary"": null, ""military fiction"": null, ""crime"": null, ""lgbt"": null, ""thriller"": null, ""suspense"": null}",2026-03-21,success
