book_title,author,goodreads_url,reviews_count,avg_rating,shelves
"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,https://www.goodreads.com/book/show/42201431-the-unhoneymooners,,,
Make Me Yours,Tia Louise,https://www.goodreads.com/book/show/43171947-make-me-yours,,,
Christmas Shopaholic,Sophie Kinsella,https://www.goodreads.com/book/show/43811209-christmas-shopaholic,,,
"Again, But Better",Christine Riccio,https://www.goodreads.com/book/show/41147279-again-but-better,,,
You'd Be Mine,Erin Hahn,https://www.goodreads.com/book/show/36146624-you-d-be-mine,,,
Jules,Ellie  Penn,https://www.goodreads.com/book/show/43894656-jules,,,
"To the Stars and Back (First Comes Love, #4)",Camilla Isley,https://www.goodreads.com/book/show/44794070-to-the-stars-and-back,,,
"Passion on Park Avenue (Central Park Pact, #1)",Lauren Layne,https://www.goodreads.com/book/show/42202094-passion-on-park-avenue,,,
"The Bride Test (The Kiss Quotient, #2)",Helen  Hoang,https://www.goodreads.com/book/show/39338454-the-bride-test,,,
Eyes on Me,Rachel  Harris,https://www.goodreads.com/book/show/39863541-eyes-on-me,,,
"Red, White & Royal Blue",Casey McQuiston,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,,,
99 Percent Mine,Sally  Thorne,https://www.goodreads.com/book/show/36300625-99-percent-mine,,,
"Getting Hot with the Scot (Sometimes in Love, #1)",Melonie Johnson,https://www.goodreads.com/book/show/41150549-getting-hot-with-the-scot,,,
I Owe You One,Sophie Kinsella,https://www.goodreads.com/book/show/40702156-i-owe-you-one,,,
Don't You Forget About Me,Mhairi McFarlane,https://www.goodreads.com/book/show/34109621-don-t-you-forget-about-me,,,
"No Judgments (Little Bridge Island, #1)",Meg Cabot,https://www.goodreads.com/book/show/41088583-no-judgments,,,
"Love on Lexington Avenue (Central Park Pact, #2)",Lauren Layne,https://www.goodreads.com/book/show/43821572-love-on-lexington-avenue,,,
"Beard Necessities (Winston Brothers, #7)",Penny Reid,https://www.goodreads.com/book/show/30315692-beard-necessities,,,
"Unforsaken (The Fallen Guardians, #1)",Cassie Laelyn,https://www.goodreads.com/book/show/42938905-unforsaken,,,
Hearts Made for Breaking,Jen  Klein,https://www.goodreads.com/book/show/39396874-hearts-made-for-breaking,,,
"Smitten by the Brit (Sometimes in Love, #2)",Melonie Johnson,https://www.goodreads.com/book/show/41150496-smitten-by-the-brit,,,
"Devil's Daughter (The Ravenels, #5)",Lisa Kleypas,https://www.goodreads.com/book/show/40404706-devil-s-daughter,,,
"There's Something About Sweetie (Dimple and Rishi, #2)",Sandhya Menon,https://www.goodreads.com/book/show/35583527-there-s-something-about-sweetie,,,
"Bridal Boot Camp (Little Bridge Island, #0.5)",Meg Cabot,https://www.goodreads.com/book/show/42282584-bridal-boot-camp,,,
"Storm Cursed (Mercy Thompson, #11)",Patricia Briggs,https://www.goodreads.com/book/show/25026912-storm-cursed,,,
"Chain of Gold (The Last Hours, #1)",Cassandra Clare,https://www.goodreads.com/book/show/17699853-chain-of-gold,,,
"Once Upon a Bad Boy (Sometimes in Love, #3)",Melonie Johnson,https://www.goodreads.com/book/show/41150456-once-upon-a-bad-boy,,,
"Beard with Me (Winston Brothers, #6)",Penny Reid,https://www.goodreads.com/book/show/36268443-beard-with-me,,,
"Motion (Laws of Physics, #1; Hypothesis, #2.1)",Penny Reid,https://www.goodreads.com/book/show/30315695-motion,,,
Untitled Novella,Sarah J. Maas,https://www.goodreads.com/book/show/31050652-untitled-novella,,,
The Memory House: An inspirational dual timeline story of two women’s journeys finding love and healing,Rachel Hauck,https://www.goodreads.com/book/show/40589790-the-memory-house,,,
"The Wicked King (The Folk of the Air, #2)",Holly Black,https://www.goodreads.com/book/show/26032887-the-wicked-king,,,
"The Warrior Maiden (Hagenheim, #9)",Melanie Dickerson,https://www.goodreads.com/book/show/40590283-the-warrior-maiden,,,
"Wayward Son (Simon Snow, #2)",Rainbow Rowell,https://www.goodreads.com/book/show/44034303-wayward-son,,,
"King of Scars (King of Scars, #1)",Leigh Bardugo,https://www.goodreads.com/book/show/36307634-king-of-scars,,,
Love Lettering,Kate Clayborn,https://www.goodreads.com/book/show/44792512-love-lettering,,,
The Kiss Thief,L.J. Shen,https://www.goodreads.com/book/show/41450662-the-kiss-thief,,,
In Paris With You,Clémentine Beauvais,https://www.goodreads.com/book/show/39803890-in-paris-with-you,,,
"The Savior (Black Dagger Brotherhood, #17)",J.R. Ward,https://www.goodreads.com/book/show/42121039-the-savior,,,
How to Hack a Heartbreak,Kristin Rockaway,https://www.goodreads.com/book/show/41887423-how-to-hack-a-heartbreak,,,
"Fix Her Up (Hot & Hammered, #1)",Tessa Bailey,https://www.goodreads.com/book/show/39854434-fix-her-up,,,
"Well Met (Well Met, #1)",Jen DeLuca,https://www.goodreads.com/book/show/43189874-well-met,,,
Bridge to Us,Jeanne Felfe,https://www.goodreads.com/book/show/50089019-bridge-to-us,,,
"Losing Manhattan (Naked in New York, #1)",Peyton  James,https://www.goodreads.com/book/show/52888860-losing-manhattan,,,
"The One You Fight For (The Ones Who Got Away, #3)",Roni Loren,https://www.goodreads.com/book/show/39971463-the-one-you-fight-for,,,
"From Thailand with Love (First Comes Love, #5)",Camilla Isley,https://www.goodreads.com/book/show/48529482-from-thailand-with-love,,,
"Free (Chaos, #6)",Kristen Ashley,https://www.goodreads.com/book/show/41020095-free,,,
Outmatched,Kristen Callihan,https://www.goodreads.com/book/show/51987128-outmatched,,,
"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,,,
"Royal Holiday (The Wedding Date, #4)",Jasmine Guillory,https://www.goodreads.com/book/show/44300636-royal-holiday,,,
"Laws of Physics (Hypothesis, #4-6)",Penny Reid,https://www.goodreads.com/book/show/33651700-laws-of-physics,,,
The Flatshare,Beth O'Leary,https://www.goodreads.com/book/show/36478784-the-flatshare,,,
Twice in a Blue Moon,Christina Lauren,https://www.goodreads.com/book/show/45186670-twice-in-a-blue-moon,,,
"The Beholder (The Beholder, #1)",Anna  Bright,https://www.goodreads.com/book/show/36558159-the-beholder,,,
Gentleman Sinner,Jodi Ellen Malpas,https://www.goodreads.com/book/show/40922276-gentleman-sinner,,,
"Vortex Visions (Air Awakens: Vortex Chronicles, #1)",Elise Kova,https://www.goodreads.com/book/show/41834793-vortex-visions,,,
Breaking His Rules,Aliza Mann,https://www.goodreads.com/book/show/40945652-breaking-his-rules,,,
Every Last Breath (Final Hour #1),Juno Rushdan,https://www.goodreads.com/book/show/40876589-every-last-breath,,,
Coral,Sara Ella,https://www.goodreads.com/book/show/42772077-coral,,,
"Broken Knight (All Saints High, #2)",L.J. Shen,https://www.goodreads.com/book/show/52274111-broken-knight,,,
"Hold On (Play On, #2.5; Big Sky, #4.6)",Samantha Young,https://www.goodreads.com/book/show/39400754-hold-on,,,
"Dirty Charmer (The Bodyguards, #1)",Emma Chase,https://www.goodreads.com/book/show/36442732-dirty-charmer,,,
"Pretty Reckless (All Saints High, #1)",L.J. Shen,https://www.goodreads.com/book/show/39709060-pretty-reckless,,,
Virtually Yours,Sarvenaz Tash,https://www.goodreads.com/book/show/42202007-virtually-yours,,,
"Quiet Man (Dream Team, #0.5; Dream Man, #4.5)",Kristen Ashley,https://www.goodreads.com/book/show/43206597-quiet-man,,,
"Tomboy (The Hartigans, #3)",Avery Flynn,https://www.goodreads.com/book/show/42376730-tomboy,,,
We Shouldn't,Vi Keeland,https://www.goodreads.com/book/show/42739681-we-shouldn-t,,,
"Handle With Care (Shacking Up, #5)",Helena Hunting,https://www.goodreads.com/book/show/41150495-handle-with-care,,,
"#Awestruck (#Lovestruck, #3)",Sariah Wilson,https://www.goodreads.com/book/show/40728117-awestruck,,,
Faker,Sarah        Smith,https://www.goodreads.com/book/show/41957551-faker,,,
"Forbidden by Destiny (Forbidden Love, #2)",Negeen Papehn,https://www.goodreads.com/book/show/43389027-forbidden-by-destiny,,,
The Beauty of the Moment,Tanaz Bhathena,https://www.goodreads.com/book/show/35526671-the-beauty-of-the-moment,,,
"Courting Darkness (Courting Darkness Duology, #1)",Robin LaFevers,https://www.goodreads.com/book/show/37569347-courting-darkness,,,
"The Cities of Dead (The Casquette Girls, #3)",Alys Arden,https://www.goodreads.com/book/show/36505918-the-cities-of-dead,,,
"War (The Four Horsemen, #2)",Laura Thalassa,https://www.goodreads.com/book/show/49390139-war,,,
My Lovely Wife,Samantha  Downing,https://www.goodreads.com/book/show/39796904-my-lovely-wife,,,
"The Lady's Guide to Celestial Mechanics (Feminine Pursuits, #1)",Olivia Waite,https://www.goodreads.com/book/show/42117380-the-lady-s-guide-to-celestial-mechanics,,,
In the Unlikely Event,L.J. Shen,https://www.goodreads.com/book/show/48847096-in-the-unlikely-event,,,
"Ninth House (Alex Stern, #1)",Leigh Bardugo,https://www.goodreads.com/book/show/43263680-ninth-house,,,
Regretting You,Colleen Hoover,https://www.goodreads.com/book/show/44582454-regretting-you,,,
"I Heart Hawaii (I Heart, #8)",Lindsey Kelk,https://www.goodreads.com/book/show/42848113-i-heart-hawaii,,,
Even If I Fall,Abigail   Johnson,https://www.goodreads.com/book/show/36511890-even-if-i-fall,,,
"A Highlander Walks into a Bar (Highland, Georgia, #1)",Laura Trentham,https://www.goodreads.com/book/show/41812884-a-highlander-walks-into-a-bar,,,
"The Slow Burn (Moonlight and Motor Oil, #2)",Kristen Ashley,https://www.goodreads.com/book/show/44102654-the-slow-burn,,,
"The Red Scrolls of Magic (The Eldest Curses, #1)",Cassandra Clare,https://www.goodreads.com/book/show/30295312-the-red-scrolls-of-magic,,,
Catching Him (How to Catch an Alpha #1),Aurora Rose Reynolds,https://www.goodreads.com/book/show/43982500-catching-him,,,
The Widow of Rose House,Diana Biller,https://www.goodreads.com/book/show/43263486-the-widow-of-rose-house,,,
"The Wedding Deal (Heart in the Game, #1)",Cindi Madsen,https://www.goodreads.com/book/show/44006166-the-wedding-deal,,,
Would Like to Meet,Rachel Winters,https://www.goodreads.com/book/show/44284639-would-like-to-meet,,,
"Angry God (All Saints High, #3)",L.J. Shen,https://www.goodreads.com/book/show/51317220-angry-god,,,
"Nightchaser (Endeavor, #1)",Amanda Bouchet,https://www.goodreads.com/book/show/37119609-nightchaser,,,
"The Bromance Book Club (Bromance Book Club, #1)",Lyssa Kay Adams,https://www.goodreads.com/book/show/44019067-the-bromance-book-club,,,
"The Right Swipe (Modern Love, #1)",Alisha Rai,https://www.goodreads.com/book/show/39863092-the-right-swipe,,,
"Sapphire Flames (Hidden Legacy, #4)",Ilona Andrews,https://www.goodreads.com/book/show/41088576-sapphire-flames,,,
Ten Things My Cat Hates About You,Lottie Lucas,https://www.goodreads.com/book/show/50755057-ten-things-my-cat-hates-about-you,,,
Rio (International Guy #11),Audrey Carlan,https://www.goodreads.com/book/show/38446279-rio,,,
"My Kind of Forever (Trillium Bay, #2)",Tracy Brogan,https://www.goodreads.com/book/show/40626429-my-kind-of-forever,,,
"Waiting for Tom Hanks (Waiting for Tom Hanks, #1)",Kerry Winfrey,https://www.goodreads.com/book/show/40969415-waiting-for-tom-hanks,,,
"The Wedding Party (The Wedding Date, #3)",Jasmine Guillory,https://www.goodreads.com/book/show/42455873-the-wedding-party,,,
Breakout,A.M. Rose,https://www.goodreads.com/book/show/41569307-breakout,,,
"Crazy Cupid Love (Let's Get Mythical, #1)",Amanda Heger,https://www.goodreads.com/book/show/40003942-crazy-cupid-love,,,
"New Orleans Rush (Showmen, #1)",Kelly Siskind,https://www.goodreads.com/book/show/42129393-new-orleans-rush,,,
Match Me If You Can,Tiana Smith,https://www.goodreads.com/book/show/34993791-match-me-if-you-can,,,
Lies That Bind Us,Kelleigh L. Clare,https://www.goodreads.com/book/show/43169384-lies-that-bind-us,,,
Serving Up Secrecy (Ladies of Westside #3),H.M. Shander,https://www.goodreads.com/book/show/40193095-serving-up-secrecy,,,
Story of Us (Love Unexpected #3),Jody Holford,https://www.goodreads.com/book/show/41957412-story-of-us,,,
Inexplicable Fate: Hanleigh's London (The Fate Series Book 2),Hanleigh Bradley,https://www.goodreads.com/book/show/43891346-inexplicable-fate,,,
"Everything I Do (Outlaws, #1)",M.C. Frank,https://www.goodreads.com/book/show/44066870-everything-i-do,,,
"An Enchanting Madness (The Macalisters, #4)",Erica Taylor,https://www.goodreads.com/book/show/44098535-an-enchanting-madness,,,
Promise Me,Robin Bielman,https://www.goodreads.com/book/show/44322406-promise-me,,,
"Dear George, Dear Mary: A Novel of George Washington's First Love",Mary Calvi,https://www.goodreads.com/book/show/39863455-dear-george-dear-mary,,,
"Choosing Us (Pierced Hearts Duet, #1)",M.  Robinson,https://www.goodreads.com/book/show/41810204-choosing-us,,,
"Untouched (Bay Falls High, #1)",Jaxson Kidman,https://www.goodreads.com/book/show/51053357-untouched,,,
On a City Street: A Becker Family Novel,Pat Wahler,https://www.goodreads.com/book/show/52452034-on-a-city-street,,,
Come Back My Wife,Ella  Knight,https://www.goodreads.com/book/show/51560559-come-back-my-wife,,,
"The Map from Here to There (The Start of Me and You, #2)",Emery Lord,https://www.goodreads.com/book/show/42972032-the-map-from-here-to-there,,,
"Jackson (The McBrides of Texas, #1; Eternity Springs, #16)",Emily March,https://www.goodreads.com/book/show/41150459-jackson,,,
Serving Up Hope (Ladies of Westside #4),H.M. Shander,https://www.goodreads.com/book/show/40193192-serving-up-hope,,,
Everything Grows,Aimee Herman,https://www.goodreads.com/book/show/42932817-everything-grows,,,
Call Me Doctor,Hanleigh Bradley,https://www.goodreads.com/book/show/42798004-call-me-doctor,,,
The Kissing Contract,Amy Andrews,https://www.goodreads.com/book/show/44308779-the-kissing-contract,,,
"A Duke in Disguise (Regency Imposters, #2)",Cat Sebastian,https://www.goodreads.com/book/show/36501794-a-duke-in-disguise,,,
