book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status
Book Lovers,Emily Henry,https://www.goodreads.com/book/show/58690308-book-lovers,177968.0,4.09,"{""romance"": null, ""fiction"": null, ""contemporary"": null, ""audiobook"": null, ""contemporary romance"": null, ""adult"": null, ""chick lit"": null, ""enemies to lovers"": null, ""book club"": null, ""rom com"": null}",2026-03-21,success
"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,https://www.goodreads.com/book/show/58283080-hook-line-and-sinker,39423.0,3.87,"{""romance"": null, ""friends to lovers"": null, ""contemporary"": null, ""contemporary romance"": null, ""audiobook"": null, ""fiction"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null, ""forced proximity"": null}",2026-03-21,success
Love on the Brain,Ali Hazelwood,https://www.goodreads.com/book/show/59571699-love-on-the-brain,79806.0,3.9,"{""romance"": null, ""contemporary"": null, ""contemporary romance"": null, ""enemies to lovers"": null, ""fiction"": null, ""audiobook"": null, ""adult"": null, ""rom com"": null, ""chick lit"": null, ""workplace romance"": null}",2026-03-21,success
Reminders of Him,Colleen Hoover,https://www.goodreads.com/book/show/58341222-reminders-of-him,106840.0,4.33,"{""romance"": null, ""colleen hoover"": null, ""fiction"": null, ""contemporary"": null, ""audiobook"": null, ""contemporary romance"": null, ""book club"": null, ""adult"": null, ""chick lit"": null, ""new adult"": null}",2026-03-21,success
"Part of Your World (Part of Your World, #1)",Abby Jimenez,https://www.goodreads.com/book/show/57577284-part-of-your-world,,,"{""romance"": null, ""audiobook"": null, ""fiction"": null, ""contemporary"": null, ""contemporary romance"": null, ""adult"": null, ""chick lit"": null, ""rom com"": null, ""book club"": null, ""small town romance"": null}",2026-03-21,success
"The American Roommate Experiment (Love Deception, #2)",Elena  Armas,https://www.goodreads.com/book/show/60114057-the-american-roommate-experiment,29999.0,3.78,"{""romance"": null, ""contemporary"": null, ""friends to lovers"": null, ""contemporary romance"": null, ""fiction"": null, ""fake dating"": null, ""audiobook"": null, ""forced proximity"": null, ""adult"": null, ""rom com"": null}",2026-03-21,success
Weather Girl,Rachel Lynn Solomon,https://www.goodreads.com/book/show/53369734-weather-girl,7834.0,3.6,"{""romance"": null, ""contemporary"": null, ""fiction"": null, ""contemporary romance"": null, ""audiobook"": null, ""adult"": null, ""mental health"": null, ""chick lit"": null, ""rom com"": null, ""friends to lovers"": null}",2026-03-21,success
"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,https://www.goodreads.com/book/show/60393672-it-starts-with-us,129548.0,3.84,"{""romance"": null, ""colleen hoover"": null, ""fiction"": null, ""audiobook"": null, ""contemporary"": null, ""contemporary romance"": null, ""adult"": null, ""book club"": null, ""chick lit"": null, ""love"": null}",2026-03-21,success
Something Wilder,Christina Lauren,https://www.goodreads.com/book/show/59345253-something-wilder,16851.0,3.65,"{""romance"": null, ""contemporary"": null, ""audiobook"": null, ""fiction"": null, ""contemporary romance"": null, ""second chance"": null, ""adult"": null, ""chick lit"": null, ""adventure"": null, ""mystery"": null}",2026-03-21,success
"Twisted Hate (Twisted, #3)",Ana Huang,https://www.goodreads.com/book/show/56688531-twisted-hate,,,"{""romance"": null, ""enemies to lovers"": null, ""contemporary romance"": null, ""contemporary"": null, ""spicy"": null, ""dark romance"": null, ""audiobook"": null, ""smut"": null, ""adult"": null, ""fiction"": null}",2026-03-21,success
