book_title,author,goodreads_url,reviews_count,avg_rating,shelves
"The Long Game (Game Changers, #6)",Rachel  Reid,https://www.goodreads.com/book/show/58939872-the-long-game,,,
You & Me,Tal Bauer,https://www.goodreads.com/book/show/60695252-you-me,,,
"Egotistical Puckboy (Puckboys, #1)",Eden Finley,https://www.goodreads.com/book/show/59623625-egotistical-puckboy,,,
"The Best Men (The Best Men, #1)",Sarina Bowen,https://www.goodreads.com/book/show/58790303-the-best-men,,,
"Iris (Mike Bravo Ops, #1)",Eden Finley,https://www.goodreads.com/book/show/59238149-iris,,,
"Master of Mayhem (Frat Wars, #2)",Saxon James,https://www.goodreads.com/book/show/59541711-master-of-mayhem,,,
Gravity,Tal Bauer,https://www.goodreads.com/book/show/61848341-gravity,,,
Boyfriend Goals,Riley Hart,https://www.goodreads.com/book/show/60527961-boyfriend-goals,,,
"Irresponsible Puckboy (Puckboys, #2)",Eden Finley,https://www.goodreads.com/book/show/59623685-irresponsible-puckboy,,,
"Roommate Arrangement (Divorced Men's Club, #1)",Saxon James,https://www.goodreads.com/book/show/59442393-roommate-arrangement,,,
"Something Fabulous (Something Fabulous, #1)",Alexis  Hall,https://www.goodreads.com/book/show/58377135-something-fabulous,,,
Secret Service,Tal Bauer,https://www.goodreads.com/book/show/61263260-secret-service,,,
"Rookie Move (Playing for Keeps, #1)",Riley Hart,https://www.goodreads.com/book/show/61032226-rookie-move,,,
"Headcase (Necessary Evils, #4)",Onley James,https://www.goodreads.com/book/show/59442558-headcase,,,
Davo,N.R. Walker,https://www.goodreads.com/book/show/60676146-davo,,,
The Kite (The Milvus Files #1),N.R. Walker,https://www.goodreads.com/book/show/61278222-the-kite,,,
Strings Attached,Riley Hart,https://www.goodreads.com/book/show/59595426-strings-attached,,,
"Moth (Monstrous, #5)",Lily Mayne,https://www.goodreads.com/book/show/60398931-moth,,,
"Wicked Heat (Chicago Heat, #1)",Ella Frank,https://www.goodreads.com/book/show/59089442-wicked-heat,,,
"The Sunny Side (The Model Agency, #1)",Lily Morton,https://www.goodreads.com/book/show/62033981-the-sunny-side,,,
"Malum Discordiae (Tennebrose, #1)",Ashlyn Drewek,https://www.goodreads.com/book/show/60420033-malum-discordiae,,,
"Platonic Rulebook (Divorced Men's Club, #2)",Saxon James,https://www.goodreads.com/book/show/60039166-platonic-rulebook,,,
"The Spooky Life (The Spectral Files, #4)",S.E. Harmon,https://www.goodreads.com/book/show/60711282-the-spooky-life,,,
"Firecracker (Honeybridge, #1)",Lucy Lennox,https://www.goodreads.com/book/show/60167859-firecracker,,,
"Mortal Skin (Folk, #1)",Lily Mayne,https://www.goodreads.com/book/show/59916433-mortal-skin,,,
"Hacked (Licking Thicket: Horn of Glory, #3)",Lucy Lennox,https://www.goodreads.com/book/show/60157966-hacked,,,
