book_title,author,goodreads_url,reviews_count,avg_rating,shelves
Finding Hayes (Magnolia Falls #5),Laura Pavlov,https://www.goodreads.com/book/show/204873146-finding-hayes,,,
"Sunlight (Haven River Ranch, #2)",Devney Perry,https://www.goodreads.com/book/show/205963763-sunlight,,,
"Slap Shot Surprise (Cherry Tree Harbor, #5)",Melanie Harlow,https://www.goodreads.com/book/show/213444576-slap-shot-surprise,,,
"From Here to Eternity (Moonlit Ridge, #1)",A.L. Jackson,https://www.goodreads.com/book/show/215352156-from-here-to-eternity,,,
The Way We Play,Tia Louise,https://www.goodreads.com/book/show/213773501-the-way-we-play,,,
"On the Wild Side (The Wilds of Montana, #4)",Kristen Proby,https://www.goodreads.com/book/show/208960501-on-the-wild-side,,,
How My Neighbor Stole Christmas,Meghan Quinn,https://www.goodreads.com/book/show/211148021-how-my-neighbor-stole-christmas,,,
"The Striker (Gods of the Game, #1)",Ana Huang,https://www.goodreads.com/book/show/204538483-the-striker,,,
"Talk Wicked to Me (The Wickeds: Dark Knights at Bayside, #6)",Melissa Foster,https://www.goodreads.com/book/show/201145828-talk-wicked-to-me,,,
"The Wedding Witch (The Ex Hex, #3)",Erin Sterling,https://www.goodreads.com/book/show/112972173-the-wedding-witch,,,
"Rags to Royals (Royals Gone Rogue, #3)",Erin Nicholas,https://www.goodreads.com/book/show/213963670-rags-to-royals,,,
Only With Me (Sugarland Creek #4),Brooke Montgomery,https://www.goodreads.com/book/show/213780355-only-with-me,,,
"All Too Well (Ember Falls, #1)",Corinne Michaels,https://www.goodreads.com/book/show/213939158-all-too-well,,,
The Fake Wedding Project,Pippa Grant,https://www.goodreads.com/book/show/209604880-the-fake-wedding-project,,,
"Don't Kiss and Spell (Paranormal Romance, #1)",Camilla Isley,https://www.goodreads.com/book/show/212584785-don-t-kiss-and-spell,,,
Don't Fall for Your Ex-Boyfriend's Brother (Magnolia Ridge #5),Logan Chance,https://www.goodreads.com/book/show/214802811-don-t-fall-for-your-ex-boyfriend-s-brother,,,
Mr. Heartbreaker (The Nest #1),Piper Rayne,https://www.goodreads.com/book/show/204955776-mr-heartbreaker,,,
"The Invitation (Brewer Family, #3)",Adriana Locke,https://www.goodreads.com/book/show/217114511-the-invitation,,,
"Forever Starts Tonight (Wilder Family, #4)",Karla Sorensen,https://www.goodreads.com/book/show/208662056-forever-starts-tonight,,,
Text Appeal,Kylie Scott,https://www.goodreads.com/book/show/213699819-text-appeal,,,
"Undeniably Infatuated (Boston's Irresistible Billionaires, #3)",J. Saman,https://www.goodreads.com/book/show/216120857-undeniably-infatuated,,,
"Just Between Us (King Family, #3)",Lena Hendrix,https://www.goodreads.com/book/show/215504189-just-between-us,,,
Forbidden Impulses (Forbidden Daddies #1),Leslie Ayla,https://www.goodreads.com/book/show/219133479-forbidden-impulses,,,
"Seven Year Itch (Mountain Men Matchmaker, #2)",Amy Daws,https://www.goodreads.com/book/show/210970307-seven-year-itch,,,
"Dear Rosie, (Love Letters #2)",S.J. Tilly,https://www.goodreads.com/book/show/215107606-dear-rosie,,,
"Shattered Dreams (Dream, #1)",Natasha Madison,https://www.goodreads.com/book/show/202936227-shattered-dreams,,,
"The Romance Line (Love and Hockey, #2)",Lauren Blakely,https://www.goodreads.com/book/show/217068516-the-romance-line,,,
"A Very No Strings Halloween (Very Holiday, #4)",Kayley Loring,https://www.goodreads.com/book/show/217112080-a-very-no-strings-halloween,,,
The Deals We Make (Iron Outlaws MC #9),Scarlett Cole,https://www.goodreads.com/book/show/216863787-the-deals-we-make,,,
Sugar Nookie,Marika Ray,https://www.goodreads.com/book/show/219789718-sugar-nookie,,,
"All Folked Up (Good Folk: Modern Folktales, #3)",Penny Reid,https://www.goodreads.com/book/show/199272303-all-folked-up,,,
"Bull Moon Rising (Royal Artifactual Guild, #1)",Ruby Dixon,https://www.goodreads.com/book/show/205435116-bull-moon-rising,,,
"The Player + The Pact = I Do (New York City Billionaires, #2)",Louise Bay,https://www.goodreads.com/book/show/216968147-the-player-the-pact-i-do,,,
"Chase Our Forever (Sutten Mountain, #3)",Kat Singleton,https://www.goodreads.com/book/show/199057593-chase-our-forever,,,
Variation,Rebecca Yarros,https://www.goodreads.com/book/show/210482187-variation,,,
Morally Gray Daddies: 2024 Anthology,Alta Hensley,https://www.goodreads.com/book/show/212077895-morally-gray-daddies,,,
"Secret Love (The Single Dad Playbook, #2)",Willow Aster,https://www.goodreads.com/book/show/218600611-secret-love,,,
Headed for Home,Harloe Rae,https://www.goodreads.com/book/show/217030932-headed-for-home,,,
"Elevator Pitch (Chicago Anchors, #1)",L.B. Dunbar,https://www.goodreads.com/book/show/214207078-elevator-pitch,,,
Safe With Me,Stephanie    Rose,https://www.goodreads.com/book/show/218431732-safe-with-me,,,
Christmas Sweater Weather,Jaqueline Snowe,https://www.goodreads.com/book/show/207573365-christmas-sweater-weather,,,
"Axe-identally Married (Maine Lumberjacks, #3)",Daphne Elliot,https://www.goodreads.com/book/show/203505089-axe-identally-married,,,
Make the Season Bright,Ashley Herring Blake,https://www.goodreads.com/book/show/206180603-make-the-season-bright,,,
"The Foul Out (The Boston Revs Three Outs, #3)",Jenni Bara,https://www.goodreads.com/book/show/208095998-the-foul-out,,,
Loving the CEO (The Whitley Brothers #7),Layla Hagen,https://www.goodreads.com/book/show/214189715-loving-the-ceo,,,
Tender Temptation (Charming Irish #1),Kaylene Winter,https://www.goodreads.com/book/show/214067943-tender-temptation,,,
