book_title,author,goodreads_url,reviews_count,avg_rating,shelves
The Lodge,Kayla Olson,https://www.goodreads.com/book/show/214152208-the-lodge,,,
The Last Heir,Marina Vinni,https://www.goodreads.com/book/show/231518705-the-last-heir,,,
"I Got Abducted by Aliens and Now I'm Trapped in a Rom-Com (Cosmic Chaos, #1)",Kimberly Lemming,https://www.goodreads.com/book/show/213618276-i-got-abducted-by-aliens-and-now-i-m-trapped-in-a-rom-com,,,
Love Points to You,Alice  Lin,https://www.goodreads.com/book/show/214269390-love-points-to-you,,,
The Reunion,Beth Reekles,https://www.goodreads.com/book/show/211401560-the-reunion,,,
Royal Heirs Academy (Royal Heirs Academy #1),Lindsey Duga,https://www.goodreads.com/book/show/212924064-royal-heirs-academy,,,
Into the Woods,Jenny  Holiday,https://www.goodreads.com/book/show/212924210-into-the-woods,,,
So Not My Type,Dana Hawkins,https://www.goodreads.com/book/show/219825099-so-not-my-type,,,
"Give Me Butterflies (Oaks Sisters, #1)",Jillian Meadows,https://www.goodreads.com/book/show/210297493-give-me-butterflies,,,
Dream Count,Chimamanda Ngozi Adichie,https://www.goodreads.com/book/show/219520778-dream-count,,,
"I Summon the Sea (The Thorn and the Shadow, #1)",Mona Archer,https://www.goodreads.com/book/show/223716013-i-summon-the-sea,,,
"Seven Year Itch (Mountain Men Matchmaker, #2)",Amy Daws,https://www.goodreads.com/book/show/219657082-seven-year-itch,,,
"Down to a Science (Love in Edinburgh, #2)",Kat Paige,https://www.goodreads.com/book/show/220861141-down-to-a-science,,,
"The Geographer's Map to Romance (Love's Academic, #2)",India Holton,https://www.goodreads.com/book/show/216247464-the-geographer-s-map-to-romance,,,
Nine-Tenths,J.M. Frey,https://www.goodreads.com/book/show/233260830-nine-tenths,,,
Christmas Switch,Kate Hendrickson,https://www.goodreads.com/book/show/240425243-christmas-switch,,,
The Swiss Rendezvous (The Rendezvous #1),Simran       Kaur,https://www.goodreads.com/book/show/243007583-the-swiss-rendezvous,,,
Nightshade,Lynessa Layne,https://www.goodreads.com/book/show/242179336-nightshade,,,
This Kind of Love,Ashley Detweiler,https://www.goodreads.com/book/show/214674806-this-kind-of-love,,,
Until Our Voices Meet,Biswatosh Sinha,https://www.goodreads.com/book/show/242952746-until-our-voices-meet,,,
"Out of the Woods (Out, #2)",Hannah Bonam-Young,https://www.goodreads.com/book/show/209220944-out-of-the-woods,,,
August Lane,Regina Black,https://www.goodreads.com/book/show/221179148-august-lane,,,
"Storm in a Teacup (Love in Edinburgh, #3)",Kat Paige,https://www.goodreads.com/book/show/232924067-storm-in-a-teacup,,,
"Dream Girl Drama (Big Shots, #3)",Tessa Bailey,https://www.goodreads.com/book/show/214283601-dream-girl-drama,,,
Shadow & Sin: A Nightshade Novel,Lynessa Layne,https://www.goodreads.com/book/show/245007488-shadow-sin,,,
The Chemistry Test,Georgina Frankie,https://www.goodreads.com/book/show/227982221-the-chemistry-test,,,
"Can't Get Enough (Skyland, #3)",Kennedy Ryan,https://www.goodreads.com/book/show/218372325-can-t-get-enough,,,
"Emily Wilde's Compendium of Lost Tales (Emily Wilde, #3)",Heather Fawcett,https://www.goodreads.com/book/show/208841368-emily-wilde-s-compendium-of-lost-tales,,,
Changing Tides (Cape May #1),Linny Mack,https://www.goodreads.com/book/show/221451242-changing-tides,,,
All the Missing Pieces,Catherine Cowles,https://www.goodreads.com/book/show/216284514-all-the-missing-pieces,,,
One in a Million,Beverley Kendall,https://www.goodreads.com/book/show/212378267-one-in-a-million,,,
Deep End,Ali Hazelwood,https://www.goodreads.com/book/show/212808709-deep-end,,,
"Chasing Stars (Cape May, #2)",Linny Mack,https://www.goodreads.com/book/show/224004672-chasing-stars,,,
"Spiral (Off the Ice, #2)",Bal Khabra,https://www.goodreads.com/book/show/213618272-spiral,,,
Maya in Multicolor,Swati Teerdhala,https://www.goodreads.com/book/show/214540656-maya-in-multicolor,,,
Great Big Beautiful Life,Emily Henry,https://www.goodreads.com/book/show/218559595-great-big-beautiful-life,,,
Where the Stars Burn,Erica Mae,https://www.goodreads.com/book/show/241226163-where-the-stars-burn,,,
"Comeback (Holland Brothers, #3)",Rebecca Jenshak,https://www.goodreads.com/book/show/216375349-comeback,,,
No Ordinary Love,Myah Ariel,https://www.goodreads.com/book/show/215805849-no-ordinary-love,,,
"Problematic Summer Romance (Not in Love, #2)",Ali Hazelwood,https://www.goodreads.com/book/show/228691356-problematic-summer-romance,,,
Leave This Off the Books,Arden Joy,https://www.goodreads.com/book/show/228165986-leave-this-off-the-books,,,
"The Path to Loving Him (Almond Bay, #3)",Meghan Quinn,https://www.goodreads.com/book/show/220239464-the-path-to-loving-him,,,
Something Cheeky,Thien-Kim Lam,https://www.goodreads.com/book/show/199793635-something-cheeky,,,
Swept Away,Beth O'Leary,https://www.goodreads.com/book/show/215805795-swept-away,,,
Battle of the Bookstores,Ali Brady,https://www.goodreads.com/book/show/218460257-battle-of-the-bookstores,,,
"Ruled Out (Seattle Scorpions, #4)",Ruth Stilling,https://www.goodreads.com/book/show/218261174-ruled-out,,,
