book_title,author,goodreads_url,reviews_count,avg_rating,shelves,date_scraped,status,book_id
book_235684270,,https://www.goodreads.com/book/show/235684270-only-for-him,725.0,4.22,"{""sports romance"": null, ""hockey"": null, ""sports"": null, ""enemies to lovers"": null, ""hockey romance"": null, ""romance"": null, ""brothers best friend"": null, ""found family"": null, ""audiobook"": null, ""contemporary romance"": null}",2026-08-31,success,235684270
book_56553921,,https://www.goodreads.com/book/show/56553921-the-unselected-journals-of-emma-m-lion,,,,2026-08-31,error_503,56553921
book_216594909,,https://www.goodreads.com/book/show/216594909-it-seemed-like-a-good-idea,1646.0,3.73,"{""romance"": null, ""forced proximity"": null, ""audiobook"": null, ""contemporary romance"": null, ""contemporary"": null, ""small town romance"": null, ""rom com"": null, ""fiction"": null, ""grumpy sunshine"": null, ""spicy"": null}",2026-08-31,success,216594909
book_233809901,,https://www.goodreads.com/book/show/233809901-whisper-sweet-nothings,,,"{""romance"": null, ""forced proximity"": null, ""small town romance"": null, ""friends to lovers"": null, ""found family"": null, ""contemporary romance"": null, ""audiobook"": null, ""contemporary"": null, ""slow burn"": null, ""workplace romance"": null}",2026-08-31,success,233809901
book_220637398,,https://www.goodreads.com/book/show/220637398-gloves-off,9843.0,4.24,"{""romance"": null, ""sports romance"": null, ""enemies to lovers"": null, ""hockey"": null, ""sports"": null, ""marriage of convenience"": null, ""hockey romance"": null, ""contemporary romance"": null, ""forced proximity"": null, ""contemporary"": null}",2026-08-31,success,220637398
book_245576121,,https://www.goodreads.com/book/show/245576121-time-will-tell,4373.0,3.78,"{""romance"": null, ""novella"": null, ""audiobook"": null, ""short stories"": null, ""contemporary romance"": null, ""contemporary"": null, ""fiction"": null, ""holiday"": null, ""adult"": null, ""ebooks"": null}",2026-08-31,success,245576121
book_218405601,,https://www.goodreads.com/book/show/218405601-riftborne,5685.0,3.79,"{""fantasy"": null, ""romantasy"": null, ""romance"": null, ""fantasy romance"": null, ""enemies to lovers"": null, ""magic"": null, ""dragons"": null, ""audiobook"": null, ""adult"": null, ""fiction"": null}",2026-08-31,success,218405601
book_240693004,,https://www.goodreads.com/book/show/240693004-doppelb-nger,827.0,4.05,"{""m m romance"": null, ""science fiction"": null, ""romance"": null, ""lgbt"": null, ""queer"": null, ""fantasy"": null, ""audiobook"": null, ""adult"": null, ""fiction"": null, ""found family"": null}",2026-08-31,success,240693004
book_235289966,,https://www.goodreads.com/book/show/235289966-royal-spin,491.0,3.24,"{""romance"": null, ""fiction"": null, ""contemporary"": null, ""audiobook"": null, ""adult"": null, ""royalty"": null, ""adult fiction"": null, ""contemporary romance"": null, ""chick lit"": null, ""rom com"": null}",2026-08-31,success,235289966
book_236608663,,https://www.goodreads.com/book/show/236608663-margin-of-error,,,,2026-08-31,error_503,236608663
